Ticker,Market Cap(mn),Year,EPS,NAV,ROE
GP,386995.986,2022,22.29,34.22,0.6514
BATBC,280098.0,2022,33.1,76.27,0.434
LHBL,80947.733,2022,3.83,15.25,0.2511
GENEXIL,7921.905,2022,3.36,16.53,0.2033
BSC,16473.784,2023,16.15,86.67,0.1863
BSCCL,36097.816,2023,15.19,85.05,0.1786
SQURPHARMA,185977.422,2022,20.51,116.7,0.1757
RENATA,139688.856,2022,47.68,274.39,0.1738
MPETROLEUM,22238.41,2022,29.25,174.15,0.168
PTL,12538.182,2022,4.67,29.6,0.1578
BEACONPHAR,56595.0,2022,4.05,25.73,0.1574
BEXIMCO,103570.839,2022,14.32,91.19,0.157
EBL,35492.701,2022,4.77,33.33,0.1431
CITYBANK,26206.844,2022,3.98,28.21,0.1411
IPDC,21374.873,2022,2.43,18.33,0.1326
UTTARABANK,16144.976,2022,4.2,31.79,0.1321
OLYMPIC,28991.138,2022,6.03,46.84,0.1287
BXPHARMA,65221.587,2022,11.2,91.01,0.1231
SEAPEARL,20998.425,2022,1.34,11.77,0.1138
BRACBANK,57596.086,2022,4.02,40.86,0.0984
ADNTEL,7008.241,2022,2.59,27.56,0.094
EHL,7878.331,2023,7.37,80.08,0.092
JAMUNAOIL,19655.579,2022,16.87,189.0,0.0893
ISLAMIBANK,52485.696,2022,3.83,43.21,0.0886
ORIONPHARM,18626.4,2022,3.62,82.53,0.0439
UNIQUEHRL,16898.56,2022,3.27,84.73,0.0386
SONALIPAPR,20264.586,2022,6.03,241.3,0.025
HEIDELBCEM,13397.001,2022,-4.13,60.07,-0.0688
DELTALIFE,16891.875,2018,,,
RUPALILIFE,3202.519,2022,,,
